# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.607085 0.15 0.2 0 1.04301 1.59071 -5.57595e-06 -1.12459e-05 0
0.608351 0.15 0.2 0 1.0436 1.60364 -5.51578e-06 -1.0475e-05 0
0.609616 0.15 0.2 0 1.04455 1.63053 -5.44501e-06 -3.27632e-06 0
0.610879 0.15 0.2 0 1.04577 1.61675 -5.58576e-06 -1.38468e-05 0
0.61214 0.15 0.2 0 1.04554 1.58607 -5.60137e-06 -1.71733e-05 0
0.613398 0.15 0.2 0 1.04436 1.56717 -5.55418e-06 -4.27957e-06 0
0.614655 0.15 0.2 0 1.04414 1.56337 -5.53495e-06 -6.87773e-06 0
0.615909 0.15 0.2 0 1.04503 1.56899 -5.5661e-06 -2.28062e-05 0
0.617162 0.15 0.2 0 1.04585 1.57802 -5.55909e-06 -2.9152e-06 0
0.618412 0.15 0.2 0 1.04682 1.59057 -5.56526e-06 -9.18365e-06 0
0.61966 0.15 0.2 0 1.04753 1.6037 -5.55664e-06 -1.12738e-05 0
0.620907 0.15 0.2 0 1.04823 1.59992 -5.54928e-06 -1.15061e-05 0
0.622151 0.15 0.2 0 1.04855 1.586 -5.57155e-06 -1.25634e-05 0
0.623394 0.15 0.2 0 1.04817 1.57998 -5.54363e-06 -1.21825e-05 0
0.624634 0.15 0.2 0 1.04862 1.58213 -5.48315e-06 -4.48661e-06 0
0.625873 0.15 0.2 0 1.04926 1.59082 -5.55716e-06 -9.77356e-06 0
0.627109 0.15 0.2 0 1.0501 1.60111 -5.53634e-06 -1.50692e-05 0
0.628343 0.15 0.2 0 1.05082 1.6275 -5.52639e-06 -9.28263e-06 0
0.629576 0.15 0.2 0 1.05159 1.61125 -5.52897e-06 -1.37335e-05 0
0.630806 0.15 0.2 0 1.05145 1.57735 -5.59375e-06 -6.57127e-06 0
0.632035 0.15 0.2 0 1.04997 1.5548 -5.50559e-06 -1.5551e-05 0
0.633261 0.15 0.2 0 1.04989 1.54942 -5.5268e-06 -9.81777e-06 0
0.634486 0.15 0.2 0 1.05072 1.5546 -5.51028e-06 -1.28742e-05 0
0.635709 0.15 0.2 0 1.05155 1.56298 -5.52112e-06 -7.26496e-06 0
0.63693 0.15 0.2 0 1.05216 1.57426 -5.48191e-06 -1.5862e-05 0
